metric,factor,sum_sq,df,F,p_value,eta_sq
Macro8,C(tokenizer),0.9985666777735548,4.0,39.443335290147616,1.4078238061912814e-20,0.574843966140339
Macro8,C(model),0.002985383991063546,1.0,0.471690090808584,0.49363022731268735,0.001718593271809547
Macro8,C(mode),0.021387763155720715,1.0,3.379262424972135,0.06867150268789259,0.012312274055366348
Macro8,C(regime),0.005307632303429189,1.0,0.8386048731678208,0.3617635897954824,0.0030554398339433754
Macro8,Residual,0.7088616307922497,112.0,,,0.40806972669854186
Macroext,C(tokenizer),0.2740149380031487,4.0,6.4051860784365955,0.00011163105146934005,0.17422925058969688
Macroext,C(model),0.045414219747514285,1.0,4.2462871580599195,0.04165263647709857,0.02887610993176695
Macroext,C(mode),0.041017958847816935,1.0,3.835231186920229,0.05267255070583381,0.026080797940629247
Macroext,C(regime),0.014434549606453748,1.0,1.3496486996150199,0.24780933531964336,0.009178042550743499
Macroext,Residual,1.197844710541318,112.0,,,0.7616357989871634
